delhi	2021	1	57	6.7	19.2
delhi	2021	2	3	10.3	27.6
delhi	2021	3	13	16.8	33.1
delhi	2021	4	3	18.8	37.3
delhi	2021	5	145	23.3	37.5
delhi	2021	6	35	25.9	38.3
delhi	2021	7	507	26.4	36.5
delhi	2021	8	214	26.3	35.2
delhi	2021	9	415	25.4	33.2
delhi	2021	10	123	20.5	33.1
delhi	2021	11	0	11.9	27.8
delhi	2021	12	10	8.1	22.4
delhi	2022	1	88	8.1	18.0
delhi	2022	2	30	9.7	24.2
delhi	2022	3	0	17.6	32.9
delhi	2022	4	0	22.2	40.2
delhi	2022	5	48	26.0	40.1
delhi	2022	6	24	27.2	40.4
delhi	2022	7	286	26.9	35.4
delhi	2022	8	42	26.4	34.5
delhi	2022	9	156	24.9	34.3
delhi	2022	10	129	18.5	31.5
delhi	2022	11	0	12.3	28.8
delhi	2022	12	0	7.5	23.6
delhi	2023	1	20	6.4	19.7
delhi	2023	2	0	11.2	27.7
delhi	2023	3	50	16.1	30.9
delhi	2023	4	20	19.4	35.3
delhi	2023	5	112	22.1	36.8
delhi	2023	6	101	25.9	37.1
delhi	2023	7	383	26.7	34.8
delhi	2023	8	92	26.7	35.4
delhi	2023	9	83	25.2	35.6
delhi	2023	10	5	18.4	33.5
delhi	2023	11	17	13.2	27.9
