pune	2021	1	37	15.7	31.1
pune	2021	2	0	13.2	31.5
pune	2021	3	5	16.7	36.5
pune	2021	4	28	19.8	37.6
pune	2021	5	62	22.7	35.3
pune	2021	6	154	22.0	30.4
pune	2021	7	194	22.2	29.3
pune	2021	8	40	21.1	28.6
pune	2021	9	85	21.4	28.9
pune	2021	10	140	18.8	31.9
pune	2021	11	16	18.0	31.2
pune	2021	12	85	14.4	28.3
pune	2022	1	0	12.3	28.4
pune	2022	2	0	12.9	32.5
pune	2022	3	1	17.9	36.5
pune	2022	4	0	21.6	39.2
pune	2022	5	1	23.4	37.0
pune	2022	6	35	23.6	33.4
pune	2022	7	364	22.0	27.8
pune	2022	8	156	21.7	28.9
pune	2022	9	184	21.6	29.8
pune	2022	10	304	18.8	30.3
pune	2022	11	0	13.8	31.0
pune	2022	12	0	14.4	31.2
pune	2023	1	0	12.0	30.9
pune	2023	2	0	11.4	33.7
pune	2023	3	10	15.7	33.4
pune	2023	4	38	19.2	36.7
pune	2023	5	20	22.7	37.2
pune	2023	6	83	23.8	34.2
pune	2023	7	152	22.4	28.1
pune	2023	8	37	21.8	29.0
pune	2023	9	177	21.7	29.8
pune	2023	10	19	19.4	33.0
pune	2023	11	28	17.3	31.3
